I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,1a7
I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,1a7
I,0.13,0.1,0.03,0.013,0.0045,0.003,0.004,1a7
I,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,1a7
I,0.135,0.13,0.04,0.029,0.0125,0.0065,0.008,1a7
I,0.14,0.105,0.035,0.014,0.0055,0.0025,0.004,1a7
I,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,1a7
I,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,1a7
M,0.155,0.115,0.025,0.024,0.009,0.005,0.0075,1a7
M,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,1a7
I,0.155,0.105,0.05,0.0175,0.005,0.0035,0.005,1a7
I,0.16,0.12,0.02,0.018,0.0075,0.0045,0.005,1a7
I,0.16,0.11,0.025,0.0195,0.0075,0.005,0.006,1a7
I,0.16,0.11,0.025,0.018,0.0065,0.0055,0.005,1a7
I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,1a7
I,0.165,0.115,0.015,0.0145,0.0055,0.003,0.005,1a7
I,0.165,0.11,0.02,0.019,0.0065,0.0025,0.005,1a7
I,0.165,0.12,0.03,0.0215,0.007,0.005,0.005,1a7
M,0.165,0.125,0.04,0.0245,0.0095,0.0045,0.008,1a7
I,0.165,0.12,0.05,0.021,0.0075,0.0045,0.014,1a7
I,0.17,0.105,0.035,0.034,0.012,0.0085,0.005,1a7
I,0.17,0.125,0.055,0.0235,0.009,0.0055,0.008,1a7
I,0.17,0.13,0.095,0.03,0.013,0.008,0.01,1a7
M,0.175,0.125,0.04,0.024,0.0095,0.006,0.005,1a7
M,0.175,0.135,0.04,0.0305,0.011,0.0075,0.01,1a7
I,0.175,0.125,0.04,0.028,0.0095,0.008,0.009,1a7
I,0.175,0.125,0.05,0.0235,0.008,0.0035,0.008,1a7
I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,1a7
I,0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085,1a7
I,0.18,0.13,0.045,0.0275,0.0125,0.01,0.009,1a7
M,0.18,0.125,0.05,0.023,0.0085,0.0055,0.01,1a7
I,0.18,0.135,0.08,0.033,0.0145,0.007,0.01,1a7
I,0.185,0.135,0.04,0.027,0.0105,0.0055,0.009,1a7
I,0.185,0.135,0.045,0.032,0.011,0.0065,0.01,1a7
I,0.185,0.13,0.045,0.029,0.012,0.0075,0.0095,1a7
I,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,1a7
I,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105,1a7
I,0.19,0.13,0.03,0.0295,0.0155,0.015,0.01,1a7
I,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,1a7
I,0.19,0.13,0.045,0.0265,0.009,0.005,0.009,1a7
I,0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095,1a7
I,0.195,0.15,0.045,0.0375,0.018,0.006,0.011,1a7
M,0.195,0.145,0.05,0.032,0.01,0.008,0.012,1a7
I,0.2,0.145,0.025,0.0345,0.011,0.0075,0.01,1a7
I,0.2,0.15,0.04,0.046,0.021,0.007,0.0065,1a7
I,0.2,0.155,0.04,0.0435,0.0155,0.009,0.007,1a7
I,0.2,0.145,0.05,0.036,0.0125,0.008,0.011,1a7
M,0.2,0.14,0.055,0.035,0.0145,0.008,0.01,1a7
I,0.2,0.145,0.06,0.037,0.0125,0.0095,0.011,1a7
M,0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155,1a7
I,0.205,0.155,0.045,0.0495,0.0235,0.011,0.014,1a7
I,0.205,0.14,0.05,0.046,0.0165,0.012,0.0135,1a7
I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,1a7
I,0.205,0.15,0.065,0.04,0.02,0.011,0.013,1a7
I,0.21,0.15,0.045,0.04,0.0135,0.008,0.0105,1a7
